,避難所總數,總收容人數,平均收容人數,high_risk_count,high_risk_capacity,medium_risk_count,medium_risk_capacity,low_risk_count,low_risk_capacity,safe_count,safe_capacity,high_risk_percentage,medium_risk_percentage,low_risk_percentage,safe_percentage,疏散需求,安全容量,容量缺口,缺口比例,風險等級
北區,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,低風險
中區,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,低風險
南區,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,低風險
東區,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,低風險
西區,100,27020,270.2,0,0,0,0,59,15144,41,11876,0.0,0.0,59.0,41.0,3028.8,11876,8847.2,292.10248283148445,低風險
